gid,심_응,약국,소방서,경찰서,안전상비,버스정류소,지하철,어린이집,유아인구수,총인구수,0.00,1.00,순위
다사3470,0,7,0,0,21,18,0,33,1153,23466,0.79,0.21,295
다사4025,0,3,0,0,3,8,0,10,367,9889,0.79,0.21,296
라사1121,1,3,1,1,5,12,0,5,55,3100,0.79,0.21,297
다사6521,0,5,0,0,6,25,0,13,428,9038,0.79,0.21,298
다사6756,0,9,0,0,14,18,0,27,955,24943,0.79,0.21,299
다사6114,0,4,0,0,9,13,0,9,689,9452,0.79,0.21,300
다사3841,0,11,0,1,12,27,0,32,1207,30706,0.79,0.21,301
다사6119,0,4,0,0,6,20,0,9,969,13211,0.79,0.21,302
다사3684,1,4,0,1,9,20,0,17,442,10434,0.79,0.21,303
다사5216,0,5,0,0,6,16,0,15,548,10651,0.79,0.21,304
다사4122,0,2,0,1,11,24,0,7,124,7164,0.79,0.21,305
다사6069,0,12,0,1,16,15,1,31,860,24465,0.79,0.21,306
다사7417,0,2,0,0,10,15,0,4,119,4244,0.80,0.20,307
다사6625,0,8,0,0,13,39,0,16,927,20068,0.80,0.20,308
다사6088,0,12,1,1,19,29,1,27,677,17429,0.80,0.20,309
다사7067,0,4,0,0,5,11,0,4,166,6826,0.80,0.20,310
다사6526,0,8,0,0,16,34,1,19,785,18940,0.80,0.20,311
다사6511,0,9,0,0,12,14,0,23,1845,20179,0.80,0.20,312
다사6323,0,14,0,0,10,23,0,26,1832,34102,0.80,0.20,313
다사7371,0,3,0,0,5,16,0,11,350,7690,0.80,0.20,314
다사6118,0,0,0,0,14,17,0,10,307,8931,0.80,0.20,315
다사4465,0,3,0,0,6,13,0,4,132,5715,0.80,0.20,316
다사3739,0,3,0,0,10,21,0,9,731,11514,0.80,0.20,317
다사6935,0,3,0,1,5,25,0,11,328,6706,0.81,0.19,318
다사3465,0,2,0,1,11,33,0,10,225,9892,0.81,0.19,319
다사6518,0,3,0,0,7,14,0,10,470,11660,0.81,0.19,320
다사6015,0,12,0,1,15,17,0,35,874,22563,0.81,0.19,321
다사7083,0,3,0,0,11,11,0,5,173,5790,0.81,0.19,322
다바6094,1,4,0,0,9,9,0,12,404,9070,0.81,0.19,323
다사6212,0,10,0,1,9,18,0,16,949,14870,0.81,0.19,324
다사5871,0,2,0,1,11,19,0,10,423,11532,0.81,0.19,325
다사6111,0,11,0,0,11,23,0,29,1529,22461,0.81,0.19,326
다사4275,0,2,0,1,3,12,0,6,62,2297,0.81,0.19,327
다사2660,0,9,0,0,12,23,1,32,1059,22389,0.81,0.19,328
다사4834,0,8,0,2,10,25,0,5,466,14591,0.81,0.19,329
다사4325,0,1,0,0,9,15,0,9,296,9618,0.81,0.19,330
라사1122,1,5,0,0,6,10,0,4,101,4084,0.81,0.19,331
다사4828,0,2,0,0,3,10,0,11,267,9837,0.81,0.19,332
다사7351,0,3,0,0,19,4,0,12,1187,21326,0.81,0.19,333
다사3270,0,8,0,0,15,11,0,11,1543,17777,0.82,0.18,334
다사3825,0,13,0,0,12,19,0,31,1509,26117,0.82,0.18,335
다사4365,0,4,0,1,2,8,0,5,57,3615,0.82,0.18,336
다사3326,0,1,0,0,12,13,0,5,205,5996,0.82,0.18,337
다사6215,0,2,0,0,12,17,0,10,809,9951,0.82,0.18,338
다사6561,0,4,0,0,8,6,0,5,273,4546,0.82,0.18,339
다사4181,1,2,0,0,3,12,0,3,42,2751,0.82,0.18,340
다사4258,0,1,0,0,10,17,0,12,255,12775,0.82,0.18,341
다사5388,0,3,0,1,5,20,0,3,30,1622,0.82,0.18,342
다사8428,0,3,0,0,6,15,0,6,259,5994,0.82,0.18,343
다사4538,0,7,1,0,6,13,0,3,144,2941,0.82,0.18,344
다사5436,0,2,1,1,1,9,0,5,41,1133,0.82,0.18,345
다사4158,0,14,0,2,17,43,0,47,1305,39045,0.82,0.18,346
다사4331,0,3,0,0,16,12,0,18,827,13627,0.82,0.18,347
다사5213,0,3,0,0,4,20,0,6,385,7659,0.82,0.18,348
다사6017,0,2,0,0,10,6,0,5,23,1560,0.82,0.18,349
다바7089,0,6,0,1,9,17,0,14,607,11213,0.83,0.17,350
다사3570,0,4,0,0,3,7,0,6,324,5439,0.83,0.17,351
다바6490,0,1,0,0,13,16,0,5,636,8970,0.83,0.17,352
다사6507,0,6,0,0,9,9,0,13,1018,10565,0.83,0.17,353
다사7252,0,10,0,1,13,15,0,30,1713,29480,0.83,0.17,354
다사7736,0,2,0,0,6,13,0,4,319,7137,0.83,0.17,355
다사5033,0,9,0,1,6,16,0,26,988,26083,0.83,0.17,356
다바5993,0,0,0,0,15,0,0,1,89,1762,0.83,0.17,357
다사3785,0,5,0,0,4,12,0,8,657,7217,0.83,0.17,358
다사3648,0,4,0,0,3,13,0,7,216,4858,0.83,0.17,359
다사4583,0,2,0,1,1,13,0,6,24,2132,0.83,0.17,360
다사3563,0,11,0,2,18,12,0,29,793,26880,0.83,0.17,361
다사3762,0,5,0,0,10,21,1,15,400,16888,0.83,0.17,362
다사7632,0,8,0,1,8,15,0,28,730,12791,0.84,0.16,363
다사5811,0,2,0,0,10,13,0,12,126,3537,0.84,0.16,364
다사4269,0,5,0,0,4,13,0,3,171,5907,0.84,0.16,365
다사6232,0,6,0,1,10,14,0,10,660,11904,0.84,0.16,366
다사5716,0,8,0,1,16,20,0,16,734,11869,0.84,0.16,367
다사9916,0,3,0,0,8,21,0,11,411,6552,0.84,0.16,368
다사6107,0,4,0,0,8,14,1,11,477,9363,0.84,0.16,369
다사3761,0,8,0,0,15,27,0,22,691,22694,0.85,0.15,370
다사3363,0,6,0,0,14,16,0,5,761,12785,0.85,0.15,371
다사8015,0,4,0,0,5,5,0,4,54,3088,0.85,0.15,372
다바7390,0,0,0,0,12,11,0,1,115,3598,0.85,0.15,373
다사6856,1,12,0,1,12,33,1,23,844,22112,0.85,0.15,374
다사2261,0,6,0,0,11,13,0,16,578,9665,0.85,0.15,375
다사4323,0,5,0,1,19,22,0,15,347,16028,0.85,0.15,376
다사9917,0,2,0,0,9,14,0,6,360,6910,0.85,0.15,377
다사5611,0,3,0,1,1,11,0,6,311,5490,0.85,0.15,378
다사5217,0,4,0,0,7,22,0,10,531,5946,0.85,0.15,379
