gid,심_응,약국,소방서,경찰서,안전상비,버스정류소,지하철,어린이집,유아인구수,총인구수,0,1,순위
다사7056,0,5,0,1,4,10,0,25,559,12012,0.86,0.14,312
다사3626,0,3,0,0,8,10,0,22,457,11428,0.86,0.14,313
다사6622,0,2,0,0,6,14,0,9,468,11993,0.86,0.14,314
다사6112,0,7,0,0,13,16,0,19,785,12093,0.86,0.14,315
다사4701,0,5,0,0,3,13,0,9,753,7348,0.86,0.14,316
다바7889,0,2,1,1,7,2,0,12,654,11593,0.86,0.14,317
다사6379,0,2,0,0,6,11,0,5,1140,12225,0.86,0.14,318
다사3469,0,2,0,0,3,9,0,18,368,8261,0.87,0.13,319
다사4268,0,0,0,0,3,10,0,4,55,2213,0.87,0.13,320
다사3156,0,8,0,1,17,19,0,35,1432,25499,0.87,0.13,321
라사1101,0,2,0,0,1,3,0,4,28,1652,0.87,0.13,322
다사6918,0,1,0,0,5,15,1,6,437,11259,0.87,0.13,323
다사3130,0,7,0,0,26,8,0,15,1561,21889,0.87,0.13,324
다사3838,0,8,0,1,9,2,0,16,809,12899,0.87,0.13,325
다사4423,0,2,0,0,6,11,0,10,230,7770,0.87,0.13,326
다사3935,0,4,0,1,5,8,0,6,114,5174,0.87,0.13,327
다사8449,0,4,0,1,4,12,1,3,56,2352,0.87,0.13,328
다사4768,0,2,0,0,6,12,0,14,464,10981,0.87,0.13,329
다사3542,0,8,0,2,18,28,0,23,755,24415,0.87,0.13,330
다사5212,0,1,0,0,2,9,0,11,811,11332,0.87,0.13,331
다사3941,0,0,0,0,9,14,0,9,645,11234,0.87,0.13,332
다바6085,0,2,0,0,6,14,0,6,133,4825,0.87,0.13,333
다바4886,0,5,0,0,3,17,0,4,135,3399,0.87,0.13,334
다사4459,0,8,0,0,10,12,0,11,792,13676,0.87,0.13,335
다사5133,0,11,0,1,15,32,0,33,1031,26404,0.87,0.13,336
다사7006,0,4,0,0,5,0,0,14,1032,10990,0.88,0.12,337
다사3165,0,2,0,0,6,27,0,18,451,11887,0.88,0.12,338
다사6108,0,4,0,0,6,8,0,12,995,12203,0.88,0.12,339
다사2762,0,2,0,0,5,15,0,14,828,11756,0.88,0.12,340
다사5021,0,2,0,1,3,20,0,17,364,8606,0.88,0.12,341
다사4324,0,2,0,0,9,12,0,10,410,12971,0.88,0.12,342
다사6418,0,2,0,0,6,20,1,10,763,10418,0.88,0.12,343
다사7732,0,0,0,0,2,9,0,4,71,1679,0.88,0.12,344
다바6393,0,0,0,0,2,14,0,4,46,1622,0.88,0.12,345
다바6185,0,0,0,1,5,16,0,4,69,3194,0.88,0.12,346
다사3070,0,0,0,0,8,14,0,5,36,1660,0.88,0.12,347
라사0311,0,3,0,0,1,7,0,4,33,1166,0.88,0.12,348
다사5817,0,6,0,2,30,14,0,31,601,19030,0.88,0.12,349
다사7449,0,8,0,0,9,36,0,23,799,17348,0.88,0.12,350
다사7835,0,2,0,0,10,27,0,6,206,8994,0.88,0.12,351
다사7488,0,3,0,1,2,9,0,3,19,1158,0.88,0.12,352
다사4163,0,0,0,0,0,9,0,4,52,2053,0.88,0.12,353
다사6008,0,2,0,0,11,19,0,20,539,11469,0.88,0.12,354
다사9717,0,2,0,0,5,11,0,4,105,3516,0.89,0.11,355
다아6103,0,3,0,0,3,8,0,5,292,3216,0.89,0.11,356
다사3368,0,7,0,0,7,15,0,21,567,14491,0.89,0.11,357
다사6627,0,2,0,0,5,20,0,11,282,8758,0.89,0.11,358
다사8061,0,1,0,0,6,15,0,4,60,2453,0.89,0.11,359
다사5432,0,2,0,0,7,18,0,11,606,11981,0.89,0.11,360
다사8395,0,2,0,1,4,5,0,5,72,2278,0.89,0.11,361
다사2975,0,2,0,0,5,19,0,4,121,4566,0.89,0.11,362
다사3764,0,2,0,0,5,15,0,12,749,12385,0.89,0.11,363
다사6021,0,8,0,0,9,25,0,13,1001,20886,0.89,0.11,364
다바6589,0,6,0,0,15,21,0,10,808,13077,0.89,0.11,365
다사3832,0,1,0,0,3,10,0,5,77,2788,0.89,0.11,366
다사6210,0,8,0,0,6,17,0,18,800,17836,0.89,0.11,367
다사5872,0,2,0,0,9,14,1,6,200,6815,0.89,0.11,368
다사3230,0,2,0,0,6,8,0,14,724,10582,0.89,0.11,369
다바6888,0,3,0,0,7,12,0,14,556,11885,0.89,0.11,370
다사6516,0,2,0,0,4,18,0,16,489,11032,0.89,0.11,371
다사5519,0,3,0,1,14,25,0,6,1101,16588,0.89,0.11,372
다사5029,0,6,0,2,19,25,2,23,758,29261,0.89,0.11,373
다사8135,0,0,0,0,2,11,0,3,71,1840,0.9,0.1,374
다사5228,0,2,0,2,2,27,0,4,101,2754,0.9,0.1,375
다사3446,0,2,0,0,6,26,0,11,455,13045,0.9,0.1,376
다사6531,0,7,0,0,10,8,1,3,107,3971,0.9,0.1,377
다사3343,0,8,0,1,17,36,1,17,644,12129,0.9,0.1,378
다사2958,0,8,0,0,12,30,0,20,547,16570,0.9,0.1,379
