gid,심야약국,응급실,심_응,약국,소방서,경찰서,안전상비,버스정류소,지하철,어린이집,유아인구수,총인구수
다사4841,1,0,1,18,0,0,19,25,0,14,686,27618
다사4946,0,0,0,17,0,0,17,28,2,8,613,15823
다사4846,0,1,1,8,0,1,16,10,2,8,377,19532
다사4142,0,0,0,1,0,1,1,19,0,11,370,10958
다사6345,0,0,0,41,0,1,34,24,2,6,1316,39483
다사5552,0,0,0,23,0,1,22,35,5,7,67,4147
다사6254,0,0,0,13,0,1,21,28,0,7,603,23260
다사5161,0,0,0,0,0,0,0,0,0,0,0,122
다사6744,0,0,0,14,0,0,13,23,1,14,1047,26124
다사4547,0,0,0,4,0,0,14,14,1,13,740,16855
다사6161,1,1,1,35,0,1,30,33,2,20,788,26704
다사5159,0,0,0,0,0,0,0,0,0,0,0,18
다사4943,0,1,1,22,0,1,50,35,0,13,747,41853
다사6039,0,0,0,0,0,0,2,15,0,6,260,5094
다사6446,0,0,0,22,0,0,7,14,0,14,938,23426
다사7049,0,0,0,1,0,0,4,11,0,1,209,5214
다사4945,0,0,0,6,0,1,9,29,0,7,630,24572
다사7149,0,0,0,0,0,0,0,2,0,2,10,654
다사4647,0,2,1,14,0,1,33,28,2,16,836,22492
다사5959,0,0,0,6,1,0,14,35,0,12,614,23042
다사5047,0,0,0,2,0,0,2,6,0,0,143,3101
다사5549,0,0,0,0,0,0,6,16,1,1,84,2855
다사5848,0,0,0,2,0,0,3,0,0,0,401,9728
다사6138,0,0,0,0,0,0,0,0,0,0,0,36
다사6050,0,0,0,1,0,0,6,6,0,4,218,7384
다사6448,1,0,1,8,0,0,6,13,1,8,604,14588
다사6543,0,0,0,4,0,1,4,6,0,2,235,9689
다사6341,0,0,0,1,0,0,4,2,0,3,317,7943
다사6441,0,0,0,1,0,0,7,9,0,5,386,9845
다사5753,0,0,0,10,0,1,20,22,2,9,938,29255
다사4243,0,0,0,3,0,0,7,15,0,9,542,22419
다사5948,0,0,0,0,0,0,2,2,0,1,227,4045
다사5153,0,0,0,1,0,0,4,7,1,6,459,10267
다사4242,0,0,0,1,0,0,3,7,0,2,256,6603
다사5146,0,0,0,4,0,0,7,14,1,1,167,3703
다사6851,0,0,0,0,0,0,0,3,0,1,398,7518
다사6948,0,0,0,1,0,0,0,4,0,1,26,1161
다사6343,0,1,1,18,0,1,11,21,0,9,348,14564
다사6162,0,0,0,20,0,1,25,47,0,31,1258,36685
다사4856,0,0,0,12,0,1,29,40,0,20,1082,41879
다사6243,0,0,0,13,0,0,8,21,2,10,569,17597
다사6365,0,0,0,0,0,0,0,0,0,0,0,6
다사6456,0,0,0,13,0,0,12,25,0,29,1099,32558
다사6443,0,0,0,10,0,0,7,10,2,6,323,9523
다사6644,0,1,1,17,0,1,23,17,3,15,1257,30761
다사3941,0,0,0,0,0,0,0,0,0,1,74,933
다사5040,0,0,0,0,0,0,4,3,0,2,197,8641
다사6944,0,0,0,8,0,0,9,11,0,8,433,19906
다사5560,0,0,0,0,0,0,0,0,0,0,0,20
다사6353,0,1,1,24,0,1,28,30,1,15,1246,37748
다사4541,0,0,0,1,0,0,7,30,0,0,34,2446
다사4449,0,0,0,14,0,0,18,18,1,16,1185,37437
다사5357,0,0,0,0,0,0,0,12,0,0,75,1898
다사4746,0,1,1,28,1,2,31,31,1,8,392,15392
다사5943,0,1,1,9,0,0,22,17,1,6,787,22192
다사4839,0,0,0,2,0,1,5,18,0,8,536,17175
다사5745,1,0,1,25,0,0,34,19,2,5,642,23573
다사6156,1,0,1,17,0,0,19,16,1,10,835,25244
다사4654,0,0,0,0,0,0,2,5,0,1,311,5739
다사5043,0,0,0,5,0,1,12,41,0,16,865,30041
다사3749,0,0,0,0,0,0,0,0,0,0,0,0
다사4758,0,0,0,0,0,0,0,0,0,0,22,494
다사4153,0,0,0,0,0,0,0,2,0,1,82,1668
다사5258,0,0,0,0,0,0,0,0,0,0,0,7
다사6247,0,0,0,0,0,0,3,1,0,3,233,6481
다사4940,0,0,0,2,0,0,3,21,0,4,283,14025
다사5140,0,0,0,1,0,0,2,21,0,2,0,0
다사4860,0,0,0,4,0,1,5,8,0,7,371,11838
다사6548,0,0,0,4,0,0,1,6,0,0,220,6146
다사6262,0,0,0,20,0,0,24,24,1,20,910,35198
다사6352,0,0,0,8,0,0,20,19,1,8,576,23542
다사4045,0,0,0,0,0,0,0,4,0,1,71,1958
다사5743,1,0,1,19,0,1,23,31,1,12,667,18628
다사5846,0,0,0,13,0,2,29,17,1,1,164,7987
다사5751,0,0,0,26,1,2,29,28,3,15,1040,30806
다사4954,0,0,0,2,0,0,4,31,0,6,823,15155
다사5849,0,0,0,1,0,0,2,13,0,1,117,1786
다사5756,0,0,0,18,0,1,18,38,1,27,1928,41024
다사6750,1,0,1,17,0,0,28,23,1,19,1108,35683
다사6447,0,0,0,0,0,0,0,0,0,0,18,456
다사5660,0,0,0,1,0,1,7,28,0,3,326,13069
다사4151,0,1,1,21,0,0,29,28,1,10,379,13996
다사5659,0,0,0,1,0,0,2,14,0,1,199,5985
다사5240,0,0,0,0,0,0,0,7,0,0,62,874
다사4448,0,0,0,6,1,0,15,17,0,12,767,31869
다사4451,0,0,0,0,0,0,1,0,0,0,90,1471
다사6556,0,0,0,0,0,0,5,13,1,4,103,2645
다사6655,0,0,0,0,0,0,0,2,0,0,0,0
다사7052,0,0,0,0,0,0,1,0,0,1,293,3227
다사4345,0,0,0,12,0,1,14,36,0,18,910,31586
다사4737,0,0,0,0,0,0,1,7,0,0,58,2613
다사4949,0,0,0,4,0,1,13,23,1,8,731,14982
다사6339,0,0,0,0,0,0,0,0,0,1,38,343
다사4048,0,1,1,10,0,0,18,13,0,11,386,19152
다사5039,0,0,0,0,0,0,0,0,0,0,0,0
다사6149,0,0,0,15,0,0,36,23,1,5,283,19112
다사4838,0,0,0,1,0,0,0,2,0,7,260,5617
다사6843,0,0,0,15,0,0,14,17,1,19,660,19191
다사4352,0,0,0,0,0,0,0,0,0,0,44,1239
다사4543,0,1,1,18,0,0,18,21,1,20,361,23614
다사4648,0,0,0,8,0,0,18,26,1,19,815,19063
다사5143,0,1,1,16,0,0,13,37,0,19,1300,40437
다사6245,0,0,0,8,0,0,16,14,2,5,500,16265
다사4044,0,0,0,2,0,0,9,24,0,6,424,13602
다사5663,0,0,0,0,0,0,0,0,0,0,0,112
다사4450,0,0,0,12,0,1,17,28,0,25,1788,36915
다사3852,0,0,0,2,0,0,7,8,4,5,447,12597
다사6555,0,1,1,6,0,0,4,10,0,5,306,9525
다사6151,0,0,0,14,1,0,27,14,1,6,387,14193
다사5655,0,0,0,3,0,1,9,43,0,10,482,13896
다사5861,0,0,0,11,0,0,11,30,1,15,643,26727
다사5554,0,0,0,8,0,2,16,30,0,2,281,15080
다사4749,0,0,0,1,0,0,0,4,0,0,0,120
다사5060,0,0,0,0,0,0,0,3,0,1,47,1276
다사6137,0,0,0,0,0,0,0,4,0,0,15,336
다사5343,0,0,0,6,0,0,13,25,0,21,1756,38987
다사5057,0,0,0,0,0,0,2,5,0,8,461,10533
다사5152,0,0,0,0,0,0,4,10,1,2,162,4984
다사6260,0,0,0,4,0,0,7,23,0,5,300,22736
다사6257,1,0,1,18,0,0,27,43,2,14,888,26251
다사6749,1,0,1,21,0,0,26,32,0,15,1022,36211
다사6045,0,0,0,26,0,0,47,23,4,9,246,12315
다사6545,0,0,0,29,0,0,29,20,3,16,864,30113
다사6746,0,0,0,6,0,0,5,8,2,0,317,12914
다사5551,0,0,0,14,0,2,35,13,2,3,110,7537
다사4143,0,0,0,6,0,0,9,32,1,13,609,17054
다사4843,0,0,0,12,0,1,17,22,1,10,463,22809
다사5456,0,0,0,0,0,0,0,0,0,0,12,244
다사6038,0,0,0,0,0,0,2,6,1,2,82,1935
다사6252,1,0,1,17,0,1,26,28,0,28,1587,32712
다사5244,0,0,0,0,0,0,4,18,0,4,374,8638
다사5852,0,1,1,8,0,1,23,25,0,11,931,24350
다사6258,0,0,0,22,0,1,34,45,1,17,844,32678
다사5059,0,0,0,0,0,0,2,1,0,2,113,3095
다사4545,0,0,0,11,0,0,15,37,0,32,1846,34067
다사6051,0,0,0,12,0,1,13,16,1,6,306,15246
다사6060,0,0,0,1,0,0,4,16,1,7,362,11587
다사5154,0,0,0,13,0,0,13,28,1,9,560,19509
다사6249,0,1,1,11,0,1,27,13,2,2,54,9858
다사3942,0,0,0,0,0,0,2,5,0,6,409,3699
다사5245,1,1,1,23,0,1,13,34,1,13,738,18828
다사5942,0,0,0,12,0,1,25,35,0,4,370,15207
다사5644,0,1,1,14,0,0,5,26,0,10,478,8345
다사5252,1,2,1,21,0,2,13,54,0,13,1092,26327
다사4246,0,0,0,8,0,1,12,13,1,22,1055,23463
다사4956,0,0,0,20,0,1,24,33,3,14,659,29183
다사5762,0,0,0,2,0,0,5,25,2,10,358,11128
다사4961,0,0,0,1,0,0,1,6,0,4,132,3668
다사5353,0,0,0,9,0,3,9,25,1,2,200,6798
다사5956,0,0,0,16,0,0,16,33,0,18,935,26458
다사5144,0,0,0,11,0,0,19,20,1,14,987,30760
다사4245,0,0,0,9,0,0,14,30,0,11,649,22057
다사6949,0,0,0,0,0,0,2,8,0,4,182,6510
다사3954,0,0,0,0,0,0,0,1,0,0,12,88
다사4760,0,0,0,0,0,0,0,2,0,0,0,0
다사6643,0,0,0,22,0,0,29,22,3,14,691,21119
다사4350,0,0,0,13,0,0,20,15,1,12,968,26209
다사4754,0,0,0,3,0,1,9,15,0,9,537,18955
다사4047,0,0,0,0,0,0,1,6,0,1,149,6379
다사5441,0,0,0,3,0,0,10,14,0,2,219,7410
다사6043,0,0,0,6,0,0,5,18,2,3,1183,35089
다사4144,0,0,0,9,0,1,14,19,0,9,553,20796
다사4351,0,0,0,9,1,0,17,21,1,19,893,27122
다사6158,0,0,0,7,0,0,10,22,0,24,943,24060
다사6346,0,0,0,3,0,0,0,0,0,12,971,23443
다사6454,0,0,0,7,0,1,18,28,0,15,596,27206
다사5558,0,0,0,0,0,0,0,0,0,0,0,18
다사5865,0,0,0,0,0,0,0,0,0,0,0,16
다사4652,0,0,0,0,0,0,3,17,1,2,264,4468
