gid,심야약국,응급실,심_응,약국,소방서,경찰서,안전상비,버스정류소,지하철,어린이집,유아인구수,총인구수
라사1040,0,0,0,0,0,0,0,0,0,0,0,26
다아5609,0,0,0,0,0,0,0,0,0,0,0,0
다사8851,0,0,0,0,0,0,0,0,0,0,0,41
다바6699,0,0,0,0,0,0,0,3,0,0,0,202
다사9709,0,0,0,0,0,0,0,2,0,0,0,245
다사8244,0,0,0,0,0,0,0,4,0,1,0,114
다아6404,0,0,0,0,0,0,0,6,0,0,0,93
라사2016,0,0,0,0,0,0,0,1,0,0,0,49
다사2924,0,0,0,1,0,0,4,1,0,0,17,1611
다사6123,0,0,0,0,0,0,0,0,0,1,105,2834
다사4665,0,0,0,0,0,0,0,0,0,0,11,557
다사8950,0,0,0,0,0,0,0,0,0,0,0,136
다사8649,0,0,0,0,0,0,0,0,0,0,0,0
다사4066,0,0,0,0,0,0,0,8,0,0,0,94
다바6587,0,0,0,3,0,0,5,2,0,0,166,4280
다사3843,0,0,0,1,0,1,11,21,0,20,453,14782
다사4502,0,0,0,0,0,0,0,6,0,1,0,318
다사7207,0,0,0,0,0,0,0,0,0,0,0,8
라사0729,0,0,0,0,0,0,0,2,0,0,0,198
라사0933,0,0,0,0,0,0,0,2,0,0,0,28
다사2659,0,0,0,0,0,0,0,0,0,0,37,814
다아7401,0,0,0,0,0,0,0,4,0,0,0,207
다사8442,0,0,0,0,0,0,0,0,0,0,0,48
다사5162,0,0,0,0,0,0,1,5,0,0,10,541
라사1117,0,0,0,0,0,0,0,0,0,0,0,103
다사7273,0,0,0,0,0,0,0,2,0,0,0,136
다사8280,0,0,0,0,0,0,0,0,0,0,0,40
다사4493,0,0,0,0,0,0,0,6,0,0,0,112
다바4482,0,0,0,0,0,0,0,7,0,0,0,29
다사9749,0,0,0,0,0,0,0,0,0,0,0,87
라사0934,0,0,0,0,0,0,0,2,0,0,0,136
다사5264,0,0,0,0,0,0,0,5,0,0,0,117
다사9223,0,0,0,0,0,0,0,1,0,0,12,382
다사4179,0,0,0,0,0,0,0,3,0,0,0,71
다사8812,0,0,0,0,0,0,0,0,0,0,0,38
다사4395,0,0,0,0,0,0,0,0,0,0,0,21
다사5411,0,0,0,0,0,0,5,14,0,0,10,616
다사6439,0,0,0,0,0,0,1,0,0,0,48,1199
라사1317,0,0,0,0,0,0,2,15,0,4,41,1038
다사7405,0,0,0,0,0,0,0,4,0,1,0,210
다아6601,0,0,0,0,0,0,0,0,0,0,0,0
다사4201,0,0,0,0,0,0,0,0,0,0,0,36
다사9703,0,0,0,0,0,0,0,1,0,0,6,150
라사2132,0,0,0,0,0,0,0,0,0,0,0,29
다사5315,0,0,0,1,0,0,5,7,0,8,465,6687
다사6476,0,0,0,0,0,0,0,3,0,1,10,331
다사9201,0,0,0,0,0,0,0,0,0,0,0,69
다사3282,0,0,0,0,0,0,0,2,0,0,0,75
다바8394,0,0,0,0,0,0,0,4,0,0,0,172
다사5879,0,0,0,0,0,0,0,0,0,0,0,0
다사5625,0,0,0,0,0,0,0,0,0,0,0,41
다아7507,0,0,0,0,0,0,0,0,0,0,0,9
라사1141,0,0,0,0,0,0,0,2,1,1,9,258
다사7934,0,0,0,0,0,0,2,3,0,2,110,2490
다사4639,0,0,0,1,0,0,4,3,0,3,179,3964
다바3995,0,0,0,0,0,0,0,2,0,0,0,86
라사1220,0,0,0,1,0,0,5,4,0,3,121,3148
다사4660,0,0,0,0,0,0,2,7,0,5,174,3744
다사3611,0,0,0,0,0,0,4,4,0,0,0,169
다사5480,0,0,0,6,0,1,9,24,0,9,236,5961
다사4165,0,0,0,0,0,0,0,0,0,0,0,48
다사7531,0,0,0,0,0,0,1,2,0,4,402,4619
다사3938,0,0,0,0,0,0,0,0,0,0,0,157
라사0522,0,0,0,0,0,0,0,1,0,0,0,77
다사9270,0,0,0,3,0,1,5,7,0,6,154,4603
다사6728,0,0,0,0,0,0,0,0,0,0,0,71
다사6820,0,0,0,3,0,0,7,13,0,14,1073,16192
다사7600,0,0,0,0,0,0,0,2,0,0,0,58
다사4101,0,0,0,0,0,0,0,6,0,0,0,29
다사6366,0,0,0,0,0,0,0,0,0,0,0,0
다아4801,0,0,0,0,0,0,0,2,0,0,0,24
라사0449,0,0,0,0,0,0,0,0,0,0,0,0
다사9504,0,0,0,0,0,0,0,0,0,0,0,0
다사6661,0,0,0,0,0,0,12,19,0,15,731,14220
라사0083,0,0,0,0,0,0,0,6,0,0,6,341
